,Unnamed: 0,ticker,Open,High,Low,Close,Volume,Dividends,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,ma50,ma200,ADX,ADXR,AROONOSC,DX,PPO,stochK,stochD,TRIX,ULTOSC,MACD,MACDSIG, MACDHIST,TRANGE,BBupperband,BBmiddleband,BBlowerband,ao,apo,bias,bop,cci,cfo,cmo,coppock,cti,inertia,mom,pgo,psl,roc,rsi,rsx,willr,alma,dema,wma,fwma,hma,hwma,jma,kama,mcgd,pwma,sinwma,swma,t3,tema,trima,vidya,vwma,zlma,chop,increasing,decreasingqstick,ttm_trend,vhf,atr,massi,pdist,rvi,ui,ad,adosc,cmf,efi,mfi,obv,pvr,pvt,ebsw,VIX,VVIX,VXN,Market Cap,DPC,Cumulative Return,PriceUp,PriceDown,AD_difference,AD_RATIO
0,0,AAPL,157.9179669138001,160.47422385339237,156.09066517415604,159.2460174560547,88966500,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.05748682975545,158.81743377166663,14.195337075248974,15.08401165445524,-50.0,6.557679992758349,-3.4673687126456536,35.09321290241666,35.90502884117771,-0.1793830122354567,48.091633666423824,-2.739395454047952,-1.8527338153702584,-0.8866616386776927,4.383558679236302,163.76314470065935,158.8266387939453,153.89013288723126,-8.36991129798966,-5.807045374161163,-0.0491469879029339,0.3029617348446155,-75.86262852681621,1.2437619323227869,-14.35101943398806,-11.62284864961197,-0.7618045416044049,37.82047251728294,-7.90838623046875,-0.7126715724809454,41.66666666666666,-4.731186290072209,42.82449028300597,33.814899323178174,-65.99127461753434,163.5452342112298,157.7580710433045,159.46569990678267,158.94436645507812,157.7073425600893,155.68788309356867,158.38723998046842,165.6574141913409,162.30650307485467,159.2548217177391,162.30262471954626,159.98893280029296,161.3725913969813,157.37041246681838,159.98893280029296,165.6682986554271,160.50753250180802,158.8103767134421,52.89130240333686,1,0,-0.8926886620812894,1,0.315130296834132,4.978705741253199,25.48521534516113,7.628777504432151,50.736000453623525,7.2080052371357075,1593965842.628307,-5021429.659090042,-0.1162669835811709,-37294656.82230826,40.77002953145736,2322897700.0,2.0,9842800201.881178,29.25,117.5500030517578,36.0,14049408803.436596,0.0091888798983481,1.830927697737472,1,0,34,1.6181818181818182
1,1,MSFT,283.3001713031586,283.4697896812765,279.4990267986696,281.125244140625,25978600,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,291.4799138323185,303.83391933869143,23.658737442264613,23.023239261532943,-21.42857142857143,18.46136046608516,-3.677507333879253,47.49446011275489,58.55664002402008,-0.2475830391629574,50.56658401057348,-4.354420678213387,-4.531571660548661,0.1771509823352737,4.309963679846021,290.50412638933415,282.6656494140625,274.82717243879085,-10.240375538718013,-10.711590889172667,-0.0348397751908591,-0.5477353412515251,0.1470253053661777,-0.6035431804674785,-7.415941450922155,-7.384324130761226,0.0133622262822297,53.84027185592564,-3.511810302734375,0.0235488895144241,58.333333333333336,-1.2337853585514758,46.29202927453892,45.534111942075896,-49.44196715828067,278.8009681826093,279.4512964196997,280.60045831853694,281.42314628120903,283.09947867347705,270.24324004573015,281.7934481597562,285.7848254200265,283.4529976100414,278.9485471844673,280.20824659632774,279.414219156901,277.9425722250314,281.1877481216539,279.414219156901,292.8406030049683,279.91741628664846,282.4279525395673,66.1069524994396,0,1,-1.9215225429737643,-1,0.2865020585708495,9.17241676389186,25.548145052701432,6.275417778037308,51.31227197797513,8.686598706174099,652160583.611835,-15792327.649468184,-0.247208652881591,11512037.94915904,58.06823581478872,643033000.0,4.0,889689012.3461158,29.25,117.5500030517578,36.0,7359741830.216236,0.0225055118921575,1.493185744553031,1,0,34,1.6181818181818182
2,2,GOOG,2335.300048828125,2386.0,2332.5400390625,2362.590087890625,1060800,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2635.774296875,2778.28330078125,31.94744649602961,25.77150483058046,-71.42857142857143,34.19063502870156,-6.352885858206301,42.82346523504236,35.521080335139,-0.4907475796797511,47.60678797927078,-100.54086852104,-81.83035158608466,-18.71051693495535,53.4599609375,2408.366315679753,2338.739990234375,2269.113664788997,-301.3783088235291,-164.93025090144238,-0.0899628736351196,0.5104762252708109,-63.73527723198834,2.06287121092267,-23.17359437719029,-21.80287944716872,-0.8700381937551378,39.12443726017456,-248.030029296875,-1.168146744332042,50.0,-9.500808932863247,38.41320281140485,30.80015816668701,-73.37526314354099,2464.816109496904,2315.0288536132275,2366.8858265269887,2353.421205747378,2309.0368834833653,2228.2005757467755,2329.436935994866,2480.310672900633,2444.425082950138,2375.157372951508,2447.413827159646,2385.056005859374,2406.9186214815745,2311.896288523946,2385.056005859375,2562.3017204889243,2387.927600613173,2334.5589459908674,43.4609561437288,1,0,-14.6260009765625,1,0.4061065572070085,80.37092088966172,25.565501929590685,87.4697265625,51.77970084354247,11.987688881526363,3229504.5854236665,-634196.8636793885,-0.2450923528211399,-36729910.31386614,30.41521575924561,56962800.0,2.0,87657073.48984268,29.25,117.5500030517578,36.0,2477286291.796875,0.0250952179886445,1.6189479787922176,1,0,34,1.6181818181818182
3,3,GOOGL,2328.610107421875,2368.840087890625,2320.68994140625,2346.679931640625,1248400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2629.425205078125,2766.843654785156,32.216635447701826,25.98335005215018,-92.85714285714286,36.363967302806685,-6.329751362889906,40.123551003218175,31.883646578148955,-0.4972851806415046,46.5708890226677,-102.20415354311444,-82.84871852799472,-19.355435015119724,48.150146484375,2392.2457078653583,2323.37392578125,2254.502143697141,-306.06731818704066,-163.6147726988179,-0.0921418493847311,0.3752807735406114,-66.09828056285839,2.20359643232571,-24.01129934340862,-21.964581799959056,-0.8798793306949954,39.6686101250522,-253.5,-1.223909569365954,50.0,-9.749325303039702,37.99435032829568,30.37899630252645,-74.81782633144894,2461.046643194209,2300.375960975832,2353.8214000355115,2338.914269080529,2291.035175978023,2217.089201910549,2312.6701580303934,2470.6518588556323,2431.8413987197,2362.417317867279,2438.3662975474963,2373.674959309896,2396.8386603531235,2295.970847537678,2373.674959309896,2552.8795876604386,2376.1221090526737,2318.600560446904,43.87978641380936,1,0,-17.86904296875,1,0.4103011243660777,81.38873550026108,25.575327726773885,81.2802734375,51.77256917136627,11.951290314636232,1308113.6918483707,-1344360.3263397058,-0.2718322250530805,-55766846.72770839,35.33055394131667,69657100.0,2.0,111352356.64158349,29.25,117.5500030517578,36.0,2907036858.1054688,0.0266787210265337,1.6159344774779454,1,0,34,1.6181818181818182
4,4,TSLA,903.1799926757812,924.0800170898438,888.5900268554688,909.25,21236500,0.0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,938.0173986816408,907.237550048828,20.3475015159756,23.05748146958896,-35.714285714285715,16.449829610404297,-5.945731011370238,49.83142531669097,33.657203187604225,-0.1507914820703781,38.42064636037635,-23.590448596508168,-7.787878795626054,-15.802569800882114,35.489990234375,918.3722264359774,888.3940063476563,858.4157862593352,-102.67739922018608,-59.73845144418567,-0.0950291158552338,0.1710343475479304,-61.06089657604863,5.226994021705926,-13.643475990688833,-22.47016696526596,-0.8123362171152094,47.33679822677708,-118.9000244140625,-0.8147633989262298,50.0,-11.5644625386089,43.17826200465559,28.33270986231288,-67.63640350986046,985.420969572931,887.3814106729604,909.1047318892046,900.8854579258632,864.5528433751387,855.7424580668666,883.8573324752043,981.941349981601,927.1225519756092,909.501546382904,954.61212981116,920.9696716308594,946.2026078309336,876.6337269854441,920.9696716308594,984.3248267040532,924.7077727185956,885.870845161069,42.27338951617479,1,0,-25.135986328125,1,0.3496829829577991,56.10083760866473,25.747880632952185,65.14996337890625,54.32745572313849,13.227981661638506,1308682255.6079776,-21474979.210256577,-0.2947365029299627,-274174776.0278165,38.80647561294131,2538423000.0,2.0,14112067693.019302,29.25,117.5500030517578,36.0,19180381914.45923,0.0492698074772939,4.560593937058196,1,0,34,1.6181818181818182
5,5,FB,210.4499969482422,214.89990234375,208.08999633789065,212.02999877929688,41556267,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,207.6266995239258,301.1044604492188,21.825183073524745,21.72784620747636,-71.42857142857143,2.988452358605725,-6.376589136722075,87.6735777421643,78.66929580031261,-0.3923957626019492,58.14713630906931,-4.507574179704932,-5.884219249463567,1.3766450697586352,6.809906005859375,228.07139595645404,200.86199951171875,173.65260306698346,-11.82244163961974,-13.468141115628754,0.0038714142268179,0.2320152186675151,66.44349602740988,1.39686731486235,5.828274435463428,-18.73970867305416,0.0118891219259044,37.58121114099844,-5.279998779296875,1.2980633525102443,50.0,-2.4297081766213813,52.914137217731714,43.892640621095296,-12.947431005007658,188.5566432403157,200.9124840457792,198.10254572088067,205.22000036706456,208.1032726711337,184.7471980644331,203.35694692904204,192.57926037220167,198.4919210978396,186.87892481684685,195.635912336358,190.4990000406901,194.15720993047464,205.6500852447853,190.4990000406901,209.02434911561176,195.4958921143505,209.6100016759977,44.46272999779958,1,0,-2.3509979248046875,1,0.3600708416401859,10.518129650999338,26.06343315689375,12.719818115234377,52.15148401541898,13.848195583114082,-176461463.86349127,9620634.020445377,-0.109567093923808,223806271.68515536,47.19806370548547,-51202186.0,2.0,-2883414755.4561443,29.25,117.5500030517578,36.0,8745516263.330338,0.0461561602266582,0.9152387349472592,1,0,34,1.6181818181818182
6,6,NVDA,193.9589993030715,198.2081010919274,191.28956542168143,195.97857666015625,47575100,0.0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,233.94357831368828,244.5143285963036,30.34657990296173,26.60818026812499,-57.142857142857146,27.070851586816943,-11.993391288960115,50.99749725580271,43.0573833303414,-0.9389015014472312,45.809442607625485,-15.062716514297732,-13.857015296840595,-1.205701217457138,6.918535670245973,203.2073891731393,191.71747131347647,180.22755345381373,-44.27349416783949,-27.21924385657678,-0.1364757351366322,0.2919082090983833,-45.54462651724912,2.57490886029405,-20.175409522067834,-32.172554281388294,-0.7600668443442836,39.17076627149989,-25.954498291015625,-0.4704039716002071,50.0,-11.694740991952624,39.91229523896608,30.74335125655464,-70.75994040943377,200.6213182941524,187.4207579552422,193.24969371448864,193.7035287710337,190.18856359923925,166.29854095097764,190.5209728340845,205.05322694299863,200.8987266131261,191.1665026545525,200.70881398276737,193.1101771036784,193.1830019505943,189.7622945096857,193.1101771036784,220.2629151979739,195.6462147111176,192.67105225254383,51.87614631459218,1,0,-2.6074459145823483,1,0.4417270063912973,12.814831713880796,24.64612072769973,13.147206228187258,47.03725898247792,21.57810994192784,1111346915.1824484,-17533546.315705776,-0.2181358071966839,-60423098.679443166,34.18594146298869,1934493500.0,2.0,5836517146.377883,29.25,117.5500030517578,36.0,9227618787.743555,0.0463297805446243,2.123694450783421,1,0,34,1.6181818181818182
7,7,V,213.20280628686825,213.20280628686825,205.87680182592456,208.1624298095703,6616900,0.0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.03052922133128,219.3457860072125,13.45139771742363,15.01672781604262,14.285714285714286,8.902526379063397,-1.8434526400282127,35.50773151220958,52.49233650173471,-0.069922579740056,45.54422491941054,-1.3231753095514025,-0.9136976070664043,-0.4094777024849978,7.326004460943665,221.17612864707868,213.1908264160156,205.20552418495257,-1.499867856434122,-3.983799469776642,-0.0367547771960149,-0.6880116582195828,-69.76383168796582,-1.5601177127750767,-10.047025869875265,-4.227779861474072,-0.2209464101140909,49.72437909005247,-7.126388549804688,-0.622144936844751,50.0,-3.310152661021548,44.97648706506237,46.48791791407215,-68.69493467765429,211.87339147342163,210.4585400138196,211.30896578702053,210.8276900711593,213.15384959209453,210.2184969245808,213.1981286305136,213.5519617797618,212.2888549963851,210.4041437506676,212.12832638271584,211.086843363444,211.54673795020096,210.3568445444754,211.086843363444,213.38192413385147,212.3221209150304,212.2060004705214,57.51064284686495,0,1,-2.800650759817418,-1,0.2622788263470459,7.289547408893767,25.808232110982235,11.687668711926392,39.91617183003742,5.703807140561645,-272425303.83265114,-11171398.984964876,-0.3585692581716941,4737506.123450287,42.26143234560594,-32724000.0,4.0,-287426847.4265638,29.25,117.5500030517578,36.0,1410741648.9195783,0.0086886515394619,1.1064985598353418,1,0,34,1.6181818181818182
8,8,JNJ,177.65837998283055,179.47669740521155,176.5455207794537,177.15162658691406,5898700,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,174.08017211911218,166.97813668095807,29.55482566850373,33.2875268645214,35.714285714285715,4.273909424097451,0.7660822509639378,12.352345633951726,17.09426613911354,0.1664463484898348,42.133561399400605,1.2347581458267314,2.0283563357579144,-0.793598189931183,2.9311766257578427,183.374128080776,179.43695373535155,175.49977938992717,1.831382026835712,1.3743125719902023,-0.0125047269188949,-0.1728839509237938,-104.6767329972829,-0.5702377283822009,-6.020222156229518,1.52774744793115,-0.2653283658510084,41.07043445341191,-4.759429931640625,-1.0772825587815356,33.333333333333336,-2.616350002428336,46.98988892188524,48.64277437925861,-84.42228745984775,182.3444585331889,179.4427361806163,180.18451038707383,178.73196891304497,178.22518571026274,179.62012947694151,179.20322714512912,177.13543500493802,179.13587309027005,182.2312210202217,181.28250775450687,181.6315149943034,181.97624718903137,178.14031078177462,181.6315149943034,174.69114677138626,181.4020242043514,178.36916698917827,57.7678791455505,0,1,-0.1897823562046909,-1,0.2308681405284333,3.1963453311749,25.21257446827064,5.514574931203185,30.845517091900007,2.053182291071076,4220150.896864774,-7787521.828124381,-0.1066673562511188,-2061973.485271721,60.88459014692129,51458300.0,4.0,158931578.43567005,29.25,117.5500030517578,36.0,1047953486.0047226,-0.0092536442914071,1.2585883826337951,0,1,34,1.6181818181818182
9,9,UNH,501.1300048828125,505.5199890136719,497.4800109863281,499.6199951171875,2763400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,505.70092510812975,457.6645727432585,25.705202138463463,30.96750930934199,-78.57142857142857,19.82546300255685,-0.347583574301217,17.001488876082888,25.080122171380044,0.1114475443308338,40.097442907651406,-0.966692139027714,4.275158621780356,-5.24185076080807,8.03997802734375,527.6079712639994,509.5099914550781,491.4120116461569,-9.32728944666144,-1.820066598745484,-0.0458607184215845,-0.1878126731801377,-132.8921327697158,-0.1896987518970365,-20.278188470082974,-7.649071281533902,-0.8978235378688544,43.354047955585685,-38.08001708984375,-2.0043145534387663,41.66666666666666,-7.082019011593732,39.86090576495851,32.98430407780251,-89.52460267322867,530.1805551307368,506.5011418734816,512.3352711070668,506.2428618744537,502.9320772113997,509.3017834715034,505.82153348775233,518.9158285281064,516.3322876781391,517.6189125180244,525.1143029672895,518.1330037434896,526.9081384934411,499.8364373676234,518.1330037434896,511.2522859184456,518.7041744451125,504.5141234639133,42.68443060273112,0,1,-3.6809967041015614,-1,0.2575935120871404,12.665306617826266,25.58381471721789,14.589935302734377,34.32551744325693,4.820288569567414,-20689118.071486983,-2497393.107225664,-0.1186789062158552,-9234208.947422368,29.792615607230022,153577300.0,4.0,276096988.13290215,29.25,117.5500030517578,36.0,1384822655.493164,-0.0189502803822293,1.700400326692943,0,1,34,1.6181818181818182
