,Unnamed: 0,ticker,Open,High,Low,Close,Volume,Dividends,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,ma50,ma200,ADX,ADXR,AROONOSC,DX,PPO,stochK,stochD,TRIX,ULTOSC,MACD,MACDSIG, MACDHIST,TRANGE,BBupperband,BBmiddleband,BBlowerband,ao,apo,bias,bop,cci,cfo,cmo,coppock,cti,inertia,mom,pgo,psl,roc,rsi,rsx,willr,alma,dema,wma,fwma,hma,hwma,jma,kama,mcgd,pwma,sinwma,swma,t3,tema,trima,vidya,vwma,zlma,chop,increasing,decreasingqstick,ttm_trend,vhf,atr,massi,pdist,rvi,ui,ad,adosc,cmf,efi,mfi,obv,pvr,pvt,ebsw,VIX,VVIX,VXN,Market Cap,DPC,Cumulative Return,PriceUp,PriceDown,AD_difference,AD_RATIO
0,0,AAPL,125.53280262597242,127.16348555418986,125.13507341727345,126.72598266601562,81918000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,126.14397283238722,122.30222453511,22.249404126275376,24.197083868132296,-64.28571428571429,14.154679987609686,-2.052506368971665,35.76355829737548,25.624623451350136,0.0034207600046576,48.832922886663695,-0.8565622398157444,0.0569078099078762,-0.9134700497236208,2.9034071240140804,128.14257047900222,124.87655181884766,121.6105331586931,-3.7815093815334393,-2.673973279121597,-0.0272681908712456,0.588233534165828,-50.943075360257644,1.7624939685756724,-5.555498898897394,-10.3703175782263,-0.8073680865862147,50.02481221329045,-3.765579223632813,-0.5630770204211416,50.0,-2.88568790893714,47.2222505505513,29.445594607534776,-64.35327215664431,128.37556069270047,124.8705934982374,125.90287142666904,125.46399309918596,123.52368325127289,124.48473497260632,124.27440169113574,127.50072144685366,127.36765929059978,127.01335872709753,128.19958169424808,126.74090296427408,128.40471862755953,124.07971324718972,126.74090296427408,127.98146278913244,126.49197949917576,124.2939278249621,41.13794948796567,1,0,-0.1905567070512503,1,0.2479316855792573,3.017358961819519,25.28908409333322,4.13636842958627,57.17268458767864,4.717754989290205,181704688.02698785,-45963515.53392699,-0.1600487981314955,-30474841.97583686,51.79556407908923,2183385000.0,2.0,7499375630.851189,18.809999465942383,117.55999755859376,24.989999771118164,10283396125.514408,0.0134049999189787,1.45544860913745,1,0,124,12.272727272727273
1,1,MSFT,243.02975531879443,246.59236175099767,242.94069355556425,245.57305908203125,23901100,0.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.88924332625083,222.2070518508148,26.10282703984109,30.447194728806583,-78.57142857142857,19.915091710577435,-2.2340378175013926,36.694197648049816,26.713072924833465,0.0094553513100281,50.832330785133074,-1.1067612940548202,0.4834519257571079,-1.590213219811928,6.0861209062711055,248.780982774374,242.1767120361328,235.5724412978916,-5.750136504716721,-5.609279632568359,-0.0219430356736173,0.6964772337249433,-33.36878255888545,1.5784329669524213,-2.449506066881732,-9.816433455337178,-0.6817960083438933,38.81164659674737,-3.9881744384765625,-0.2838998698110174,33.333333333333336,-1.5980745014825493,48.77524696655913,30.77853261431589,-59.87275923869264,246.3327179361911,241.8825809237242,243.54490300958807,242.9940494990849,240.1070749918439,241.2100598662098,241.0154650573361,246.3108206599125,245.8328374915739,245.4895580112934,246.42397943963184,244.76819101969403,246.98893042137524,240.84835565077552,244.768191019694,245.8770268160107,244.1720757971381,241.1636470839368,42.08874790223409,1,0,-0.504704571848589,1,0.3030748570355555,5.076437549348429,24.8338303094065,7.283547101697877,49.99211294409798,5.169763536538409,242729422.5282966,-7259235.924333751,-0.0046926425888601,-15465424.12600458,36.84381068640506,515852500.0,2.0,614379924.250394,18.809999465942383,117.55999755859376,24.989999771118164,5808678484.850038,0.0156327159338354,1.2809330981869032,1,0,124,12.272727272727273
2,2,GOOG,2291.830078125,2321.139892578125,2283.320068359375,2316.159912109375,1331200,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210.246091308594,1837.0158380126952,28.60792249709764,31.88132645034089,-71.42857142857143,7.79455913051015,1.2418566447941082,26.72520383550713,19.358316304936743,0.2708834806032456,47.57212976551331,23.274270170736145,42.39004024430561,-19.115770073569465,59.169921875,2368.473338995956,2293.5259765625,2218.5786141290446,14.256105310776547,28.81936097756443,-0.0019422777979136,0.6433090181395649,-64.73060398466427,1.7915838646837587,5.398427745429995,-0.2324389035896613,-0.8388463543811107,48.91314918539644,-93.960205078125,-0.6736414549703587,50.0,-3.898569386980277,52.69921387271499,40.8493127660535,-61.26897672554371,2370.332922438169,2304.5830027978463,2315.19980024858,2298.3497562008306,2259.1440044981123,2368.4348553275804,2272.4208161796605,2320.536824367274,2299.91636217343,2349.531567573548,2358.022289846849,2339.780655924479,2369.896020961074,2278.4100090421184,2339.780655924479,2271.7934500928545,2331.979646884861,2275.0845687026635,47.83562722362382,1,0,-1.9070068359375,1,0.252011023831765,50.53918746954458,24.924105235135293,81.169921875,57.09553644303613,3.752786010713783,6131375.955302082,-426848.7526736017,-0.0941854894763865,-2866723.516663002,48.65593702332301,47594600.0,2.0,101890602.23660216,18.809999465942383,117.55999755859376,24.989999771118164,3050884200.0,0.0135952080808299,1.5888123988939105,1,0,124,12.272727272727273
3,3,GOOGL,2258.5400390625,2284.719970703125,2250.0,2278.3798828125,1599800,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191.36078125,1828.2204986572265,26.701978401756016,30.83933081750469,-71.42857142857143,9.018939406646917,0.5740204543904737,28.45669071473316,21.779762034390995,0.2206266118347732,48.9532060551301,16.607764395758295,34.931700109747354,-18.32393571398906,55.679931640625,2321.951119245065,2253.89599609375,2185.840872942435,-2.4225611069623483,13.160268930288566,-0.0062234574886697,0.5714245533108787,-60.46089351853408,1.7619504066879554,3.751775028209644,-2.262644798913968,-0.8238069339466412,48.72112788207459,-75.1201171875,-0.6124383304278759,50.0,-3.191846916826002,51.875887514104825,39.055737718606885,-64.35066908726476,2324.0003482578586,2262.990703628981,2274.512362393466,2260.135914622487,2223.195641719781,2315.4322649983183,2236.3932730740794,2279.7915109663963,2267.962134839001,2304.9045629501343,2314.7212808464983,2296.210017903646,2324.893028609986,2240.133956814069,2296.2100179036456,2236.367565754466,2286.095827704244,2238.6260238010864,45.94681077295351,1,0,-3.59296875,1,0.2605503562522324,51.27241464840285,24.9649057584424,79.10009765625,56.779049421708415,3.9459448242546817,-313830.23569205706,-550389.3773098567,-0.1289654847980133,-4442503.865304105,49.927131496536944,53501500.0,2.0,103809318.54891168,18.809999465942383,117.55999755859376,24.989999771118164,3613212354.492188,0.0145634198373623,1.5673094891468111,1,0,124,12.272727272727273
4,4,TSLA,583.4099731445312,592.8699951171875,570.4600219726562,589.739990234375,33370900,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675.8743994140625,584.053941040039,22.79544022974588,20.097980189463723,-92.85714285714286,46.40288703806916,-6.019589106701769,13.602464340291505,11.571510425616689,-0.3054060932946911,36.43368811641172,-27.6310034767688,-14.269481572931648,-13.361521903837149,22.40997314453125,640.9550263059582,599.5119995117187,558.0689727174793,-76.65405811982998,-41.36314352964735,-0.1417498482781495,0.2824642871733417,-127.01360729543472,2.468995304775616,-30.249743697536104,-28.90416811706718,-0.9233993007473807,27.515504093177697,-119.70001220703124,-1.8773123197022,25.0,-16.872464450144598,34.87512815123195,20.8460584570025,-81.69153009421736,671.8554027068201,590.4521987528872,616.6781793767756,596.990347908927,573.5729448414892,587.5167742014795,588.6061591610895,633.5938709116411,634.4222875177654,643.4217699766159,657.9331893402925,639.2573282877604,654.8364552692265,574.8203216228134,639.2573282877604,669.9538516216951,629.0672808910446,581.0095333934536,38.06498860507849,1,0,-9.902996826171876,-1,0.3611236626449856,33.34463491973275,25.018461962383043,50.20989990234375,33.752453388517004,13.295721505767109,975307803.2734728,-22929419.494777203,-0.1571586411555768,-289441716.1864939,27.4225772557976,1917411900.0,2.0,12211393144.081972,18.809999465942383,117.55999755859376,24.989999771118164,19468915872.80884,-0.0301393183247221,2.9459199804233864,0,1,124,12.272727272727273
5,5,FB,309.5400085449219,316.8500061035156,309.0799865722656,315.94000244140625,19245724,0.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.4783319091797,276.56385009765626,23.89439638121067,26.30784967440512,-64.28571428571429,7.157183008008109,1.844792004111062,47.10478962709394,30.030354503737943,0.2226902200804348,55.2915469934207,3.2260628878891,4.875649197337936,-1.6495863094488357,11.589996337890623,316.3592531831576,307.25,298.1407468168424,-1.1460386388441748,5.71473987285907,0.0198952240168028,0.8236779676993653,-0.8332258515297236,3.0455848552036224,13.282358654048297,3.931855913564267,-0.8086165343269628,40.43800825741667,-9.139984130859377,0.2395373550980849,41.66666666666666,-2.811610836838629,56.64117932702415,45.89341552371791,-47.20403754334368,318.2890061582096,310.6415041261363,310.7001786665483,310.266993382594,304.0532854793175,308.32595811042745,307.19840748015514,310.25092014477286,308.1590345801961,312.2463213801384,315.40821684132453,312.3306599934896,315.27763428826734,308.68802638259035,312.3306599934896,297.59712136461354,312.6783457901821,307.8050460817876,49.19183805895142,1,0,-0.1828399658203125,1,0.2779744339542103,8.176203232664976,24.34569896613949,13.4200439453125,49.59798515821377,4.668474343061107,41034291.69748223,2805537.262355935,-0.0063518541219588,30844832.870134868,49.570047577082974,518701465.0,1.0,1680138741.9941585,18.809999465942383,117.55999755859376,24.989999771118164,5957321571.413208,0.0112933159370662,1.3461772865023762,1,0,124,12.272727272727273
6,6,NVDA,138.77368724696095,143.14970923728998,137.35998066398813,142.30047607421875,25861600,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.21581913321754,133.79690651399895,21.489862469222214,23.054906584842023,-85.71428571428572,24.532868435221857,-3.1624305240954635,25.250184091597315,23.88164746338425,0.0526031750366584,48.936906931089645,-1.0578130104279353,0.6761164595425158,-1.733929469970451,6.621465218735295,145.87602580598298,140.34976806640626,134.8235103268295,-5.422540959609535,-4.718862386850219,-0.0463477587639398,0.6091457971831122,-72.5411657534462,2.1155730916068927,-6.183529466480545,-14.866130435834146,-0.8371939310758953,47.04792251989735,-7.658050537109375,-0.6889842314984834,50.0,-5.10677899427352,46.90823526675973,28.065933199764924,-64.54902024966528,145.23367317106374,139.83930308534727,141.7421852805398,140.62407817707197,138.09948701183566,141.06353914268297,139.76555800329783,144.78051939943725,143.36883992899615,144.05884701013565,145.51475209490894,143.3597859700521,146.00142357160755,138.29331658720733,143.3597859700521,144.38413191479685,142.75813127936345,139.0316723876936,43.46155947739757,1,0,-1.0987498792395345,1,0.2788963158145039,5.201007656349473,25.75593637792425,10.298111547752171,48.133242630352335,7.955626798713952,524780397.0881285,-11726456.670270445,-0.1379180950931836,-10361493.219726428,27.4281721837914,1521894000.0,2.0,2346772724.142164,18.809999465942383,117.55999755859376,24.989999771118164,3588909590.106005,-0.0102432411030775,1.5194598372856136,0,1,124,12.272727272727273
7,7,V,224.32220219466544,226.0009801336864,223.4281625650571,225.4347686767578,4777200,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.6040355590952,207.2583965939604,22.71653565485922,23.55886813817891,-64.28571428571429,2.714192760663233,0.7125911735911473,30.366643711788253,21.413345147195347,0.1533318954158424,49.60400445511962,1.0119656105598267,2.3024638188868742,-1.2904982083270475,3.7449834295848334,227.37459975466555,222.8689331054688,218.363266456272,0.0829591202811173,1.6090337313138434,-0.0016192746410104,0.4324311586091529,-56.94808684156636,1.702827750952676,3.622739430599101,-2.183958372568746,-0.8575471388148864,45.98903748929789,-6.239547729492188,-0.5648427395841964,41.66666666666666,-2.6932410231226944,51.81136971529955,38.02427794586012,-59.51335921190689,229.24833204005785,223.95934956047705,224.6926422119141,223.82778482503824,220.69556020100072,229.09620246557748,222.0850821955717,226.14952611706605,224.7072654880771,226.3791391253472,228.0866064733271,226.1340835571289,228.9627562604992,222.21918074351447,226.1340835571289,223.1962567220205,225.9090471609192,222.2389684469436,47.164739464159375,1,0,-0.7652861748172171,1,0.3084906197400522,4.170296253261472,24.835094033204644,6.099274145730135,54.30134961014327,3.4435140844993195,-178339307.02680507,-1094170.8923262954,-0.0386877931179929,-3076649.3159904405,32.941126604717965,80529200.0,2.0,-55334813.05659618,18.809999465942383,117.55999755859376,24.989999771118164,1071632024.3243558,0.0194574181254005,1.1642069726489237,1,0,124,12.272727272727273
8,8,JNJ,166.16637055561844,166.29234699642606,164.89696569690764,164.94541931152344,5797700,0.0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,157.73441457312026,148.95108311147283,18.596451754074923,16.404808581948057,85.71428571428572,23.77458865613452,1.5196642836567833,57.55504336625572,54.86473559954722,0.1396841190317355,53.98038091223116,1.825890476114268,1.4500890996009184,0.375801376513349,1.598865551113562,165.8509937849879,164.25354919433593,162.65610460368396,4.938659259944785,2.4305468828250127,0.0312973769474103,-0.8749947018183385,105.37745870502374,0.0984313019405374,27.45912752027116,5.847674048847919,0.880988615908741,53.99351686136234,7.257919311523437,1.4252183768830158,66.66666666666667,4.602723304969292,63.729563760135576,67.16969528059543,-13.9558203832166,162.02414396006313,164.7818810200131,163.7921231356534,164.28080344033407,164.67927144368932,164.46201391711088,164.26727816902837,160.82114486683605,161.38349506482675,163.53198757767677,161.88294750184278,163.34429168701172,162.5324703050585,165.10716635140682,163.34429168701172,158.5576132544519,163.18652455483482,164.4787411381106,42.75347777971412,1,0,0.5097062927316955,1,0.3150371853862535,2.2689727298553706,25.191377162905702,3.0427004652477763,63.67261452313026,1.2624751533962535,-16535883.831313096,-1414533.04784693,0.0927455172319035,3223686.43693552,57.77289687362215,139418600.0,2.0,98378431.8040906,18.809999465942383,117.55999755859376,24.989999771118164,963382766.570309,0.0270108057433806,1.177175338342811,1,0,124,12.272727272727273
9,9,UNH,405.53125258395886,407.11000752864896,403.0743342096401,404.3570556640625,2072900,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,375.23255306133154,335.80170007773364,49.144838079180495,46.68766072159902,64.28571428571429,34.26943605523726,2.77883857472308,16.038194967159612,22.51348956818134,0.3985955444295586,42.81914701243302,9.146234040762977,10.307661892087808,-1.1614278513248308,4.035673319008879,416.1332730546077,405.8016418457031,395.4700106367985,21.030823521792456,10.935809600047548,0.0274895278314455,-0.2909544026682346,26.81933977227084,0.0351886697487941,23.7216350865544,7.981684624626794,0.4031923778153851,65.7662119832555,10.8538818359375,0.3053153237945123,75.0,2.758270468404977,61.86081754327719,62.9228462617783,-48.04045070610035,406.4244155616717,407.671506512123,406.1591896750711,404.6056868546493,403.5880708020438,408.6413295205392,405.28307227602136,402.8153808724616,395.1621332577994,409.9783770442009,404.2426363706551,408.12273457845055,408.29042455563103,405.1743940667111,408.1227345784505,389.2308437633782,406.2148419822736,403.3568800513787,37.65073840920606,1,0,0.6778748617986594,-1,0.5304545514470325,6.743888951969937,24.886934031517907,9.294857380205258,67.4632423191658,1.65845576396656,-19635567.99018132,-986337.5199438408,0.0593421353574983,639157.283201554,71.2811892211712,86918000.0,2.0,200848368.02286664,18.809999465942383,117.55999755859376,24.989999771118164,840625733.4812883,0.0115929438736852,1.3760211275699086,1,0,124,12.272727272727273
