,Unnamed: 0,ticker,Open,High,Low,Close,Volume,Dividends,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,ma50,ma200,ADX,ADXR,AROONOSC,DX,PPO,stochK,stochD,TRIX,ULTOSC,MACD,MACDSIG, MACDHIST,TRANGE,BBupperband,BBmiddleband,BBlowerband,ao,apo,bias,bop,cci,cfo,cmo,coppock,cti,inertia,mom,pgo,psl,roc,rsi,rsx,willr,alma,dema,wma,fwma,hma,hwma,jma,kama,mcgd,pwma,sinwma,swma,t3,tema,trima,vidya,vwma,zlma,chop,increasing,decreasingqstick,ttm_trend,vhf,atr,massi,pdist,rvi,ui,ad,adosc,cmf,efi,mfi,obv,pvr,pvt,ebsw,VIX,VVIX,VXN,Market Cap,DPC,Cumulative Return,PriceUp,PriceDown,AD_difference,AD_RATIO
0,0,AAPL,133.3106446809013,133.6779141260259,132.29815455395294,133.1716766357422,84922400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,125.81876738211504,118.7014645883359,25.39910379416407,26.24423120184565,78.57142857142857,33.50994422427864,3.2830362867762632,75.30110484969451,77.50864702613508,0.1921057975685647,67.04207724326406,2.576309484597161,1.3387517900291843,1.2375576945679765,1.3797595720729705,134.99907778651428,132.2902069091797,129.5813360318451,8.772192151604628,4.08837856390538,0.0693908108850336,-0.1007190295845021,88.04609263483943,-0.8457475176500963,26.908921050007567,18.284890166460087,0.9453412594548182,71.64748268695718,11.077804565429688,1.8502468855140992,75.0,9.073186375029628,63.45446052500379,78.04087571081534,-5.2043583090734336,127.041468427552,133.46717167913732,131.4832876032049,132.48480678104852,133.8214961890006,136.99850163471032,132.92800671030963,130.40915138607187,126.49766158278534,130.86575357615948,127.63465520782484,130.41975682576498,128.3049312386956,134.4392047802257,130.41975682576498,127.01786639040118,130.11008206955498,133.50237897743744,31.436132180402883,0,1,0.6710180298901207,1,0.2828358915655762,2.921890489092053,23.00648849339798,2.819061691523018,54.12444686281978,1.8531659461091472,484314872.459745,71341470.20681739,0.1079857357188085,66522559.42276476,71.78641961583843,2448740400.0,4.0,8263482864.404231,16.25,107.8000030517578,20.51000022888184,11321059891.849373,0.003586973553284,1.5456262293620686,1,0,90,4.214285714285714
1,1,MSFT,256.77551738864054,258.2896277918072,254.92494136262192,258.0323181152344,24878600,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.1032029852274,217.5773070376044,30.53856459843317,22.18404533119745,85.71428571428572,48.830508988197806,3.799888053408477,80.03798975089079,78.47280764769273,0.3186676389365095,68.74128738818143,6.517911416301473,4.863112501461028,1.6547989148404447,3.364686429185298,259.34088591161867,255.3663055419921,251.3917251723657,17.665038501063492,9.13021791898288,0.0738998035970246,0.3735268510290722,91.70592379178606,-0.1284408349904027,40.38518628450253,18.776899582288056,0.9315389086357236,76.43064177297614,18.198989868164062,2.2745377388738173,83.33333333333333,7.588182176839031,70.19259314225127,81.15480552700515,-0.8695982992934768,247.81753744131416,257.9102453138322,254.0477799849077,255.877663779092,257.4657351252854,261.6883266588955,256.0438425125281,252.22861122601185,243.8932354793896,252.7029705047608,247.62912664739105,252.2450658162435,249.32245634595324,259.1491453733967,252.24506581624348,240.890929866759,251.810675386932,257.3032269062417,28.107691854220985,1,0,1.5329119019391613,1,0.3644318588390611,4.546658454901791,23.522190791441947,5.502261041964346,78.0462455609301,0.8158050003087256,245377036.817202,21502188.52348268,0.1119650072353571,42115377.29407171,81.29254239565125,673418100.0,2.0,860057350.1939485,16.25,107.8000030517578,20.51000022888184,6388215386.905032,0.0059706389959539,1.3533826695242543,1,0,90,4.214285714285714
2,2,GOOG,2303.0,2306.43994140625,2284.449951171875,2297.760009765625,1129800,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106.3223901367187,1754.4319140625,30.74348351708926,20.610541425427165,92.85714285714286,48.95820209732916,4.4307357890063175,68.27413234032454,60.05751212956445,0.3688782008463009,60.37644268725675,63.96210068561959,51.96545167683509,11.996649008784502,21.989990234375,2312.8290614030834,2274.264013671875,2235.6989659406668,152.8674948299631,94.85729823968312,0.0732719251703271,-0.2382897936072653,79.55853571509518,0.2266362669098651,43.709889096350935,21.81353302134892,0.8184268352927333,66.00010293666273,160.010009765625,1.8576911575531376,75.0,7.484972974652093,71.85494454817547,84.85243285939016,-3.0369810079612094,2243.8952519466966,2304.2291981313456,2272.747989169034,2283.238385393903,2285.9870987709096,2322.003235051897,2281.3691072695806,2270.761958027708,2172.3908851465003,2266.114778995514,2223.0138513889724,2263.7959798177085,2235.0219103557374,2310.851626484751,2263.7959798177085,2166.485267726576,2259.030029774042,2291.012083222149,25.898913993218223,1,0,10.35302734375,1,0.4192746278637669,43.01698752873102,23.15598187458351,45.080078125,69.439234362864,1.2317740135075232,8920848.760026328,679997.5412261793,0.1654427220343288,18522925.54812182,86.02013806958712,47965000.0,2.0,97171401.32016347,16.25,107.8000030517578,20.51000022888184,2601929400.0,0.0114274256929975,1.5965559530688325,1,0,90,4.214285714285714
3,3,GOOGL,2289.239990234375,2294.239990234375,2270.919921875,2282.75,1314100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095.304592285156,1748.7923510742187,30.20919292475505,20.36072522492384,92.85714285714286,48.28444200118015,4.451508312639309,65.10987654087008,59.52877824775743,0.3705760481683917,59.31826152990523,63.49403075903865,51.8226100771466,11.671420681892052,23.320068359375,2299.035907736179,2261.7919921875,2224.548076638821,151.96097735236663,94.78802020733156,0.0720427094532152,-0.2783006522262586,79.57584517996703,0.1304286507958131,41.81178717108015,21.723204712836232,0.8172584523617626,66.94827486121498,152.969970703125,1.7345618152183298,66.66666666666667,7.182430513898019,70.90589358554008,84.06039334618396,-4.560315874473676,2231.655890305736,2290.936771816626,2259.789071377841,2269.9673261309003,2273.239395912113,2310.35563654008,2268.44028980179,2255.085487048634,2160.6138061166,2253.126780033112,2211.5101141886576,2250.9813151041662,2223.5440679463263,2297.036273932759,2250.9813151041667,2152.245170544037,2246.705058356767,2277.6620689085507,26.55205306703895,0,1,9.2969970703125,1,0.4094742209112352,44.03477147539155,23.105961696479188,44.14013671875,54.927873179731854,1.1372358262782285,4219783.727251863,755804.8011963153,0.1640868506538617,21113646.255393416,88.91203855892584,52689400.0,4.0,100514604.83093858,16.25,107.8000030517578,20.51000022888184,3008290271.166992,0.0120648288651841,1.5886136608488088,1,0,90,4.214285714285714
4,4,TSLA,728.6500244140625,749.4099731445312,724.5999755859375,739.780029296875,27979500,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,711.5258020019531,545.3421215820313,21.095531011656654,26.219344438454584,71.42857142857143,27.93928738240653,3.202621074839824,59.06063631785237,71.47206201881777,0.0463361040538901,63.25601417107898,12.295043853251173,0.1791017031029995,12.115942150148172,24.80999755859375,773.8345035380302,735.0319946289062,696.2294857197822,59.15034987505737,21.77256344526245,0.0881746279110382,0.4486096726340571,102.13291533911736,-1.315913047039914,16.59025512318953,24.04136400213881,0.8353172731322441,58.92776972287071,78.030029296875,1.2525324863209963,66.66666666666667,11.79146645967133,58.29512756159476,69.65178439065104,-21.609208340636563,684.4865912282248,738.0583653087446,721.107450727983,733.3758062616096,751.9663786917102,776.7878293646255,738.8649911167869,702.2458374246066,683.5130910129703,703.2194093465805,691.2322893819216,706.0283264160156,691.5067512984783,749.9287992703973,706.0283264160156,703.4024776563602,713.6067259986495,748.7900733408704,32.35937003362282,1,0,0.860986328125,1,0.2420197267796227,36.41559116508092,22.5637601489253,48.68994140625,66.62861770410056,5.465232865623354,1076209214.31125,16281682.282210112,0.0751691905495933,215672064.7727716,71.63287467824179,2111783700.0,1.0,12920817759.540615,16.25,107.8000030517578,20.51000022888184,20387263358.09326,-0.0194455008028779,3.679307458677261,0,1,90,4.214285714285714
5,5,FB,308.1700134277344,308.95001220703125,304.6099853515625,306.17999267578125,13059163,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,279.35459411621093,269.3236331939697,38.77264308733033,32.5984532872774,57.142857142857146,33.84090494130103,4.506354301324245,28.68008944492552,31.742198285372066,0.5200075419532935,47.73992955346127,8.966706496456425,9.35977669586434,-0.3930701994079157,4.34002685546875,313.6306402778561,307.62400512695314,301.61736997605016,21.91614514519182,13.24173149695764,0.0419751580757687,-0.458527289858945,21.60971909198145,-0.1376129486090942,20.177070938993104,15.74173190998918,0.3869538981663409,36.8295320652369,7.519989013671875,0.1911189724798561,41.66666666666666,2.517909636865756,60.08853546949655,66.96538670119709,-31.10973215386814,310.2961028681368,310.61883068408736,308.4978199351918,307.1811896904365,306.0122793178465,321.5139427120922,308.55904780760767,302.2719233384915,295.6276323920399,311.0392386317253,306.7116130004141,310.07000122070315,310.2446123314228,308.2730784665754,310.07000122070315,288.56890680386334,309.33886131858515,306.74747896081067,43.62639766372571,0,1,0.4473541259765625,-1,0.3475656166043696,7.670489443883896,23.86920253831178,7.0400390625,31.64252276908875,1.337314184003174,43745137.790874645,-3801938.112149164,-0.0254534631915736,16407212.535489924,70.28287885960461,482423785.0,4.0,1353788113.6970043,16.25,107.8000030517578,20.51000022888184,4024442437.064972,0.0059738105102842,1.3402192317809645,1,0,90,4.214285714285714
6,6,NVDA,160.3840374512845,161.5105147151231,158.5082421222671,158.98031616210938,33520800,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.65221578501968,129.10670077804258,29.161725958743705,25.42139671620025,92.85714285714286,54.3751482952686,6.741692441531423,84.5665127599533,87.00969963139772,0.4635939231774522,72.13933574139133,6.627578674476837,3.8352214945290832,2.7923571799477536,3.002272592856002,163.44029524353266,156.28826599121095,149.13623673888924,20.40257971987657,9.259345617049776,0.1575293116273868,-0.4675529105902425,126.41366153520764,-1.5051757374282788,38.4639000318593,37.12695892344114,0.9592246561325256,70.83105755023716,20.9884033203125,2.885647552905628,75.0,15.209879251673986,69.23195001592966,85.28596567519045,-8.58647351750115,141.0950045360241,158.3787254833732,152.7692879416726,156.58920544177502,160.7401589595854,160.4512823163065,158.96955416343255,153.17949936964263,139.47267325064837,148.48726683855057,143.87139799870766,148.594770304362,145.3224242759693,161.21924868738097,148.594770304362,142.51772992469117,151.7555275480377,159.56354717175734,25.709667944941337,0,1,1.8465693509766048,1,0.4121886264411218,5.260074484840975,23.69995133632559,5.442555488221103,59.21735638461122,1.4736524352907086,595579161.6887865,57814449.07745618,0.3345498188479506,134545575.20893276,74.17985806010729,1620393200.0,4.0,2760152039.055521,16.25,107.8000030517578,20.51000022888184,5376201242.597018,0.0249321623172982,1.7560757250418542,1,0,90,4.214285714285714
7,7,V,225.33592038917848,225.9608388698868,223.93730052073423,224.58206176757807,6829400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,213.0932249694292,203.82442675715748,19.758394209875743,19.000031158168607,100.0,37.13328957169152,1.1598187575475445,81.76736666294889,76.6531737862866,0.117860399338876,62.80006987652691,2.75610365961316,1.8074237906374533,0.9486798689757066,2.0235383491524885,226.3856358870985,221.6281036376953,216.8705713882921,5.156734079618076,2.50760220258664,0.0387392688443724,-0.3725447664068704,143.5297347801016,0.3686521662620658,31.99027721899453,11.057496191120284,0.9124669918134664,59.91369393150704,9.472900390625,1.528490338432976,66.66666666666667,4.403764270190647,65.99513860949727,77.72372431666983,-8.333322499086997,217.84595737597405,223.1941293311561,221.14494490189983,222.6881746945681,223.0659667506289,217.8013320667994,222.03088151016885,220.9022130186932,217.0137560208549,219.6614095568657,217.7758181946083,219.74112854003903,217.6026798006119,224.4985167987268,219.74112854003903,214.5623793733901,219.8697964984725,223.2198386607659,40.96435674528886,1,0,0.7667587031491336,1,0.3410838057367193,4.044150306339767,22.91846836019184,4.176028724672165,64.98168636117715,2.9641301625112595,-172837949.27077833,3436507.6550162137,-0.1611153144202389,5076571.421464354,69.19813674531574,87944600.0,2.0,-50508168.31424493,16.25,107.8000030517578,20.51000022888184,1538909134.7058556,0.01465003125989,1.169468055942538,1,0,90,4.214285714285714
8,8,JNJ,156.34057159032088,157.47431515449858,155.58474254753574,157.2126922607422,9049400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.49207859620907,146.76566389606398,16.90291829915988,16.619681845152172,-71.42857142857143,14.51327235137465,0.1718146080404434,66.84016032021908,51.73869189142885,0.0345609195134599,55.316412270027385,0.0195710822540604,0.3351702253996044,-0.3155991431455439,2.0543017267642085,157.77528805473585,155.75336303710938,153.7314380194829,-0.4564939268299213,0.2694599445049448,0.0024286596431992,0.4615438788685083,-30.07051914215704,1.270269712695381,4.686098012730095,-1.641862226255238,-0.7720327398656668,48.65559411067594,-0.5717315673828125,-0.1525783776569906,50.0,-0.3623498147102277,52.34304900636505,36.75763169499567,-45.61912678898815,158.09244590029732,156.1031175971677,156.28667325106534,156.19638349626447,154.9885871193674,159.00534773626504,155.6441851867161,156.41392746489063,156.6075045711106,156.43641084432602,157.43470749320375,156.59479166666668,157.71665031560553,155.64981934787593,156.59479166666665,156.11692022475813,156.35336339031866,155.56163063896474,42.24931257591767,1,0,0.2994247316537297,1,0.3570227722224993,2.355019843191257,23.67811924448673,3.82758270609088,61.69433057112457,2.346622054126602,-30421241.84548009,6592649.8091843575,0.1740426018509956,-1152382.533300634,50.23368156549065,107252200.0,1.0,45471177.465364166,16.25,107.8000030517578,20.51000022888184,1414788368.5494497,0.0038576015871853,1.1075662581012045,1,0,90,4.214285714285714
9,9,UNH,388.6880343935493,388.6880343935493,380.3403770027393,385.8166809082031,4532400,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.6937758112188,325.3349887379772,36.67376316107882,38.12182180710391,50.0,54.388277875562885,1.39341147522743,83.66112796304787,79.7527157170881,0.3148854386529676,61.612355806451646,8.249329223218012,7.3126804039573745,0.936648819260638,8.347657390810014,391.01630779049935,376.4191589355469,361.8220100805944,18.851359214445097,5.071419349083556,0.0600610075930689,-0.3439711707032026,186.15474687051483,0.5924873738122669,47.65828306220314,4.616177669464366,0.7748552861259352,53.62404880228686,23.622039794921875,2.3181289040190616,50.0,6.52191863532674,73.82914153110157,64.44552370076175,-8.720399833565299,362.3495113180699,379.7556601179759,373.8999744762074,379.333510819015,381.18580158891376,382.35933765009605,380.6457846372661,371.0707569275367,364.68775957107226,368.4200649857521,366.988235439134,368.8424733479818,370.9544532887589,381.7916074476764,368.84247334798175,359.386695578416,372.0257424324484,380.709523209146,41.233160017239165,1,0,1.457384494997416,1,0.4412926973983606,7.373117408593544,24.59282756689097,17.682070152713777,66.65740621591665,2.168922738677033,-22601209.00731296,502729.7693209797,0.0755653031269331,10094901.034659311,60.401625950507785,71592700.0,1.0,188112017.4980173,16.25,107.8000030517578,20.51000022888184,1761689647.0853229,0.0366317144961851,1.3188698625598834,1,0,90,4.214285714285714
