,Bollinger_three,adx_strat,Alligator_strategy,MACD_CMF_ATR_Strategy,TEMA_MACD_strategy,Tema20_tema60
AAL,-36.14,0.0,-1.269,-36.918,-3.456,0.0
APA,-39.128,0.0,-615.228,-25.056,11.543,0.0
CAN,-120.188,0.0,-20.375,,42.37,0.0
MTDR,54.522,0.0,-463.075,-5.832,78.75,0.0
RTLR,0.248,0.0,-244.237,-4.686,-29.106,0.0
WES,-29.492,2.8,-81.821,78.09,35.518,0.0
MP,-101.838,0.0,23.967,,26.918,0.0
CVGI,-23.36,0.0,53.476,-3.954,106.563,-15.926
WKHS,1309.015,0.0,-60.902,51.192,233.064,-13.759
DVN,-11.667,0.0,-65.722,41.605,129.267,0.0
CVE,-29.718,0.0,-0.519,-2.575,181.763,0.0
HAL,-45.102,27.042,37.716,-31.983,45.104,0.0
MARK,554.217,0.0,-1.644,46.056,1151.301,0.0
PENN,-47.648,8.93,39.336,-35.153,53.473,0.0
CPG,-54.819,0.0,42.665,41.969,119.813,0.0
AM,-81.452,0.0,-76.105,88.755,-19.201,0.0
CBAT,52.837,15.901,-69.124,-43.684,164.726,556.061
PBI,-75.492,0.0,83.259,-61.338,18.882,0.0
FANG,-37.492,0.0,44.689,63.424,85.075,0.0
TSLA,-71.016,-4.849,-9.896,32.123,46.726,0.0
RYAM,-45.893,0.0,0.297,104.073,-64.434,0.0
ONEW,-87.899,0.0,15.55,28.478,10.853,0.0
DCP,21.473,-6.383,-31.272,-1.733,-20.377,0.0
VIST,-44.058,0.0,-26.219,-21.785,145.718,-2.216
CHX,12.604,0.0,-23.991,24.244,235.304,0.0
PDCE,-4.776,-11.132,53.31,-15.876,-35.286,0.0
PLAY,107.048,0.0,34.312,-26.968,-64.092,-8.013
CD,27.72,0.0,19.956,-19.237,-55.242,0.0
SOL,-26.387,0.0,29.306,,11.245,0.0
VET,-52.862,26.327,44.544,46.872,136.874,0.0
MGY,42.892,0.0,63.399,17.526,-18.168,0.0
CLR,66.712,0.0,47.852,41.52,-14.83,0.0
GRWG,-89.642,0.0,67.184,60.935,-29.424,0.0
FB,14.593,3.513,12.129,17.51,-10.622,7.075
NIO,-18.143,11.262,12.785,123.4,155.913,-9.731
SAH,-27.111,7.756,-34.38,9.298,-1.646,3.772
XPEV,-62.543,0.0,4.153,-3.177,-16.825,13.475
MU,-13.537,7.749,15.13,-11.017,-21.916,0.0
U,-15.832,-18.095,-16.57,-35.24,50.708,8.02
QSI,40.753,0.0,21.335,,-3.973,0.0
HUT,33.215,0.0,-18.4,,4.533,65.645
LC,-57.614,12.194,25.981,-45.021,-61.968,0.0
CREX,284.847,18.898,-54.534,,3.038,0.0
GME,8826.308,-23.535,-64.349,5.979,241.685,-17.814
AMC,5461.383,0.0,-32.481,27.082,53.206,33.984
PLUG,-82.384,0.0,-25.659,-38.174,179.279,3.936
